"Date","Transaction Status","Account Type","Transaction type","Order ID","Product Details","Total product charges","Total promotional rebates","Amazon fees","Other","Total (INR)"
"4/8/2026","Released","Cash On Delivery Transactions and Non-Transactional Fees","Order Payment","408-3078550-5285939","Rope Wire for Cloth Drying & Hanging Clo...","333","0","-40","40","333"
"2/8/2026","Deferred","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","171-4945692-9731546","Rope Wire for Cloth Drying & Hanging Clo...","333","-40","0","40","333"
"2/8/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Service Fees","---","Cost of Advertising","0","0","-679.73","0","-679.73"
"31/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","402-2161092-1998741","Rope Wire for Cloth Drying & Hanging Clo...","333","-40","0","40","333"
"30/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Service Fees","---","Cost of Advertising","0","0","-2365.19","0","-2365.19"
"29/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","171-8552815-5921160","Rope Wire for Cloth Drying & Hanging Clo...","333","0","0","0","333"
"29/7/2026","Released","Cash On Delivery Transactions and Non-Transactional Fees","Service Fees","---","Subscription:","0","0","0","0","0"
"28/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","408-5294190-3122713","Rope Wire for Cloth Drying & Hanging Clo...","333","-40","0","40","333"
"28/7/2026","Deferred","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","402-2384650-2629909","Rope Wire for Cloth Drying & Hanging Clo...","333","0","0","0","333"
"28/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","402-3276997-2565157","Rope Wire for Cloth Drying & Hanging Clo...","333","-40","0","40","333"
"28/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","404-9882340-7979558","Rope Wire for Cloth Drying & Hanging Clo...","333","-40","0","40","333"
"28/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","406-8854616-3949131","Rope Wire for Cloth Drying & Hanging Clo...","333","0","0","0","333"
"27/7/2026","Released","Cash On Delivery Transactions and Non-Transactional Fees","Refund","403-8843694-3785135","Rope Wire for Cloth Drying & Hanging Clo...","-333","40","0","-40","-333"
"26/7/2026","Released","Cash On Delivery Transactions and Non-Transactional Fees","Debt Adjustment","20093664690-202607261707","Cross-Account Debt Adjustment","0","0","0","-666","-666"
"26/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Debt Adjustment","20093664690-202607261707","Cross-Account Debt Adjustment","0","0","0","666","666"
"26/7/2026","Deferred","Cash On Delivery Transactions and Non-Transactional Fees","Order Payment","407-0078052-8644339","Rope Wire for Cloth Drying & Hanging Clo...","333","-40","0","40","333"
"26/7/2026","Released","Cash On Delivery Transactions and Non-Transactional Fees","Order Payment","403-8843694-3785135","Rope Wire for Cloth Drying & Hanging Clo...","333","-40","0","40","333"
"26/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","405-4812840-8679540","Rope Wire for Cloth Drying & Hanging Clo...","333","-40","0","40","333"
"26/7/2026","Released","Cash On Delivery Transactions and Non-Transactional Fees","Order Payment","402-0011199-9893922","Rope Wire for Cloth Drying & Hanging Clo...","333","-40","0","40","333"
"25/7/2026","Deferred","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","402-3690412-9738742","Rope Wire for Cloth Drying & Hanging Clo...","333","-40","0","40","333"
"25/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","406-0173657-4012369","Rope Wire for Cloth Drying & Hanging Clo...","333","0","0","0","333"
"24/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","406-9470190-7725157","Rope Wire for Cloth Drying & Hanging Clo...","333","-19","0","19","333"
"23/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Service Fees","---","Cost of Advertising","0","0","-2403.21","0","-2403.21"
"22/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","407-6220014-7977118","Rope Wire for Cloth Drying & Hanging Clo...","333","0","0","0","333"
"22/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","408-4963395-4323561","Rope Wire for Cloth Drying & Hanging Clo...","333","-40","0","40","333"
"22/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Refund","408-4963395-4323561","Rope Wire for Cloth Drying & Hanging Clo...","-333","40","0","-40","-333"
"22/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","402-0198021-3833977","Rope Wire for Cloth Drying & Hanging Clo...","333","0","0","0","333"
"21/7/2026","Released","Cash On Delivery Transactions and Non-Transactional Fees","Order Payment","171-2085414-2029901","Rope Wire for Cloth Drying & Hanging Clo...","333","-40","0","40","333"
"21/7/2026","Released","Cash On Delivery Transactions and Non-Transactional Fees","Order Payment","403-4702467-7845926","Rope Wire for Cloth Drying & Hanging Clo...","333","-40","0","40","333"
"21/7/2026","Released","Cash On Delivery Transactions and Non-Transactional Fees","Order Payment","407-7888245-5983526","Rope Wire for Cloth Drying & Hanging Clo...","333","0","0","0","333"
"21/7/2026","Released","Cash On Delivery Transactions and Non-Transactional Fees","Order Payment","406-2815135-1525967","Rope Wire for Cloth Drying & Hanging Clo...","333","0","-40","40","333"
"20/7/2026","Released","Cash On Delivery Transactions and Non-Transactional Fees","Service Fees","Xq7fd3H668","FBA Removal Order: Return Fee","0","0","0","0","0"
"20/7/2026","Released","Cash On Delivery Transactions and Non-Transactional Fees","Refund","407-7888245-5983526","Rope Wire for Cloth Drying & Hanging Clo...","-333","0","0","0","-333"
"19/7/2026","Released","Cash On Delivery Transactions and Non-Transactional Fees","Order Payment","405-3748827-5040365","Rope Wire for Cloth Drying & Hanging Clo...","333","-40","0","40","333"
"18/7/2026","Released","Electronic Transactions (Credit Card/Net Banking/GC)","Order Payment","404-0826745-1220358","Rope Wire for Cloth Drying & Hanging Clo...","333","-40","0","40","333"
"18/7/2026","Released","Cash On Delivery Transactions and Non-Transactional Fees","Order Payment","406-4858927-5211569","Rope Wire for Cloth Drying & Hanging Clo...","333","0","0","0","333"
